definir_nombre_tournois 5
enregistrement_tournoi New-York 2020
KaPliskova Kalinina
Garcia Paolini
Bellis Korpatsch
Brady Blinkova
Kerber Tomljanovic
Friedsam Dolehide
Li Rus
Riske Maria
Vondrousova Minnen
Sasnovich Lorenzo
Lapko Golubic
Putintseva Montgomery
Mladenovic Baptiste
Gracheva Badosa
Bondarenko Kiick
Martic Martincova
Osaka Doi
Giorgi Uytvanck
Kostyuk Kasatkina
Sevastova Gauff
Linette Inglis
Kovinic Cabrera
Juvan Arconada
Kontaveit Collins
Rybakina Zavatska
Rogers Khromacheva
Brengle Rodionova
Yastremska Sharma
Flipkens Peterson
Pegula Bouzkova
Kozlova Osuigwe
Kvitova Begu
Keys Babos
Bolsova Teichmann
Cornet Davis
Bonaventure Zhang
Vekic KrPliskova
Tig Nara
Pironkova Samsonova
Muguruza Hibino
Sakkari Voegele
Pera Diyas
Scott Vikhlyantseva
Anisimova Tomova
Stephens Buzarnescu
Govortsova Muhammad
Gasparyan Puig
SWilliams Ahn
Sabalenka Dodin
Azarenka Haas
Vickery Townsend
Swiatek Kudermetova
Muchova VWilliams
Kalinskaya Stojanovic
Cirstea McHale
Konta Watson
Mertens Siegemund
Sorribes Liu
McNally Kuzmova
Alexandrova Clijsters
Jabeur Kawa
Kanepi Siniakova
Fernandez Zvonareva
Kenin Wickmayer
Garcia KaPliskova
Brady Bellis
Kerber Friedsam
Li Riske
Sasnovich Vondrousova
Putintseva Lapko
Gracheva Mladenovic
Martic Bondarenko
Osaka Giorgi
Kostyuk Sevastova
Linette Kovinic
Kontaveit Juvan
Rogers Rybakina
Brengle Yastremska
Pegula Flipkens
Kvitova Kozlova
Keys Bolsova
Cornet Bonaventure
Vekic Tig
Pironkova Muguruza
Sakkari Pera
Anisimova Scott
Stephens Govortsova
SWilliams Gasparyan
Azarenka Sabalenka
Swiatek Vickery
Muchova Kalinskaya
Cirstea Konta
Mertens Sorribes
McNally Alexandrova
Jabeur Kanepi
Kenin Fernandez
Brady Garcia
Kerber Li
Putintseva Sasnovich
Martic Gracheva
Osaka Kostyuk
Kontaveit Linette
Rogers Brengle
Kvitova Pegula
Cornet Keys
Pironkova Vekic
Sakkari Anisimova
SWilliams Stephens
Azarenka Swiatek
Muchova Cirstea
Mertens McNally
Kenin Jabeur
Brady Kerber
Putintseva Martic
Osaka Kontaveit
Rogers Kvitova
Pironkova Cornet
SWilliams Sakkari
Azarenka Muchova
